,Bathrooms,CarpetArea,Floor,Possession On,price,title
65,5,3750sq.ft,6,ReadyToMove,6.65Cr,Fully Furnished 4BHK Apartment for Sale in Satellite
66,Freehold,1601sq.ft,,ReadyToMove,7.11L,Plot for Sale in Dholera
67,3,1245sq.ft,6,Apr'19,69.25L,3BHK Apartment for Sale in S G Highway
68,2,872sq.ft,15,Jun'22,63L,2BHK Apartment for Sale in Jagatpur
69,2,608sq.ft,5,ReadyToMove,32L,2BHK BuilderFloor for Sale in S G Highway
70,3,1110sq.ft,2,ReadyToMove,1.35Cr,Fully Furnished 3BHK Apartment for Sale in Thaltej
71,3,1050sq.ft,4,ReadyToMove,1.15Cr,Fully Furnished 3BHK Apartment for Sale in Prahlad Nagar
72,3,1650sq.ft,4,ReadyToMove,1.15Cr,Semi Furnished 3BHK Apartment for Sale in Bodakdev
73,2,925sq.ft,6,Apr'19,50.22L,3BHK Apartment for Sale in S G Highway
74,3,1500sq.ft,1,ReadyToMove,1.70Cr,Fully Furnished 3BHK Apartment for Sale in Thaltej Road
75,1,472sq.ft,4,ReadyToMove,20L,1BHK BuilderFloor for Sale in S G Highway
76,3,1189sq.ft,12,Mar'19,68.91L,3BHK Apartment for Sale in S G Highway
77,2,633sq.ft,17,Jun'22,44.99L,2BHK Apartment for Sale in Jagatpur
78,3,918sq.ft,5,ReadyToMove,78L,Fully Furnished 3BHK Apartment for Sale in S G Highway
79,2,696sq.ft,10,Dec'20,36L,2BHK Apartment for Sale in South Bopal
80,2,660sq.ft,2,ReadyToMove,38L,Semi Furnished 2BHK Apartment for Sale in Chandkheda
81,3,1332sq.ft,4,ReadyToMove,1.13Cr,3BHK Apartment for Sale in Vastrapur
82,2,1000sq.ft,2,ReadyToMove,32.51L,2BHK Apartment for Sale in Chandkheda
83,2,850sq.ft,4,Apr'19,54.25L,Fully Furnished 2BHK Apartment for Sale in S G Highway
84,2,705sq.ft,5,Dec'20,37.60L,2BHK Apartment for Sale in Bopal
85,4,2100sq.ft,GroundFloor,ReadyToMove,3.60Cr,4BHK Apartment for Sale in Bodakdev
86,2,756sq.ft,1,Apr'19,34L,Semi Furnished 2BHK Apartment for Sale in Ghuma
87,2,933sq.ft,GroundFloor,ReadyToMove,59L,Fully Furnished 2BHK Villa for Sale in Gurukul
88,4,1920sq.ft,GroundFloor,ReadyToMove,1.62Cr,4BHK Apartment for Sale in Vastrapur
89,3,1293sq.ft,5,Dec'20,1.07Cr,3BHK Apartment for Sale in Vastrapur
90,2,558sq.ft,8,ReadyToMove,65L,2BHK Apartment for Sale in S G Highway
91,3,882sq.ft,10,Mar'19,55.65L,3BHK Apartment for Sale in S G Highway
92,4,2420sq.ft,12,Mar'19,1.70Cr,4BHK Apartment for Sale in Vaishnodevi Circle
